headword,pronunciation
의사,ɨ j s a
의심스럽다,ɨ j s i m s ɨ r ə p d a
의정부시,ɨ c ə ŋ b u ʃ i
이,iː
이견,i g j ə n
이기적,i g i ɟ ə k
이나,i n a
이나저나,i n a ɟ ə n a
이든지,i d ɨ n ɟ i
이디시어,i d i ʃ i ə
이랑,i r a ŋ
이러나저러나,i r ə n a ɟ ə r ə n a
이렇게,i r ə kʰ e
이론,i r o n
이룩,i r u k
이륙하다,i r j u k h a d a
이름표,i r ɨ m pʰ j o
이며,i m j ə
이모저모,i m o ɟ ə m o
이모티콘,i m o tʰ i kʰ o n
이물,
이방인,i b a ŋ i n
이백,i b ɛ k
이별,i b j ə l
이별하다,i b j ə l h a d a
이뽑기,i p o p g i
이상야릇,iː s a ŋ j a r ɨ t
이성애,iː s ə ŋ ɛ
이성애자,iː s ə ŋ ɛ ɟ a
이성장,iː s ə ŋ ɟ a ŋ
이스라엘인,i s ɨ r a e l i n
이식,i ʃ i k
이엉,
이원록,i w ə n r o k
이육사,i j u k s a
이율배반,i j u l b ɛ b a n
이음,i ɨ m
이의,i ɨ j
이이,i i
이점,i c ə m
이주,i ɟ u
이즘,i ɟ ɨ m
이지,i ɟ i
이질,i ɟ i l
이질적,i ɟ i l c ə k
이집트학,i ɟ i p tʰ ɨ h a k
이차방정식,i cʰ a b a ŋ s i k
이차원,i cʰ a w ə n
이탄,i tʰ a n
이태동사,iː tʰ ɛ d o ŋ s a
이태리,i tʰ ɛ r i
인간관계,i n g a n g w a n g j e
인공증우,i n g o ŋ ɟ ɨ ŋ u
인구피라미드,i n g u pʰ i r a m i d ɨ
인도게르만어,i n d o g e r ɨ m a n ə
인도상,i n d o s a ŋ
인사법,i n s a b ə p
인애,i n ɛ
인적,i n c ə k
인적,i n ɟ ə k
인플루엔자,i n pʰ ɨ l l u e n ɟ a
일,i l
일,iː l
일ᄒᆞ다,i l h ɒ d a
일관하다,i l g w a n h a d a
일몰,i l m o l
일분일초,i l b u n i l cʰ o
일식집,i l s i k c i p
일차방정식,i l cʰ a b a ŋ s i k
일차원,i l cʰ a w ə n
임,i m
임상,i m s a ŋ
입맞추기,i m m a t cʰ u g i
입소,i p s o
입욕,i p j o k
입조심,i p ɟ o ʃ i m
입조심하다,i p ɟ o ʃ i m h a d a
입증,i p ɟ ɨ ŋ
입찰,i p cʰ a l
입체,i p cʰ e
입체도형,i p cʰ e d o h j ə ŋ
입체형,i p cʰ e h j ə ŋ
입헌,i p h ə n
잉글랜드,i ŋ g ɨ l l ɛ n d ɨ
잉크병,i ŋ kʰ ɨ p j ə ŋ
잉태,iː ŋ tʰ ɛ
자기결정권,c a g i g j ə l c ə ŋ k w ə n
자기부상열차,c a g i p u s a ŋ j ə l cʰ a
자동계단,c a d o ŋ g e d a n
자매애,c a m ɛ ɛ
자문하다,c aː m u n h a d a
자문하다,c a m u n h a d a
자승근,ɟ a s ɨ ŋ g ɨ n
자아,c a a
자유문,c a j u m u n
자자,c a ɟ a
자잘,ɟ a c a l
자주,c aː ɟ u
자주,c a ɟ u
자철석,c a cʰ ə l s ə k
작은창자암,c a g ɨ n cʰ a ŋ ɟ a a m
잠들다,c a m d ɨ l d a
잠자리,c a m c a r i
잠자리,c a m ɟ a r i
잡,c a p
잡이,c a p i
장,c aː ŋ
장,c a ŋ
장교,c a ŋ g j o
장군석,c a ŋ g u n s ə k
장기,c a ŋ k i
장기,c a ŋ g i
장기,c aː ŋ g i
장난꾸러기,c a ŋ n a n k u r ə g i
장딴지,ʨ a̠ː ŋ t͈ a̠ n ʥ i
장롱,c aː ŋ n o ŋ
장미,c a ŋ m i
장미꽃,c a ŋ m i c o t
장부,c a ŋ b u
장석,c a ŋ s ə k
장어덮밥,c a ŋ ə t ə p b a p
장음계,c a ŋ ɨ m g e
장자,c a ŋ ɟ a
장조,c a ŋ ɟ o
장질부사,c a ŋ ɟ i l b u s a
장치,c a ŋ cʰ i
장티푸스,c a ŋ tʰ i pʰ u s ɨ
장화,c a ŋ h w a
재,c ɛː
재,c ɛ
재가노인,c ɛː g a n o i n
재갈,c ɛ k a l
재건하다,c ɛ g ə n h a d a
재규어,c ɛ g j u ə
재수,ɟ ɛː s u
재수,ɟ ɛ s u
재촉하다,c ɛ cʰ o k h a d a
재판심리,c ɛ pʰ a n ʃ i m n i
재판하다,c ɛ pʰ a n h a d a
재회하다,c ɛː h ø h a d a c ɛː h w e h a d a
잿물,c ɛ t m u l
저,c ə
저,t͡ ɕ ʌ̹
저공비행,c ə g o ŋ b i h ɛ ŋ
저녁노을,
저녁밥,c ə ɲ ə k p a p
저렇게,c ə r ə kʰ e
저수지,c ə s u ɟ i
저장고,c ə ɟ a ŋ g o
저체온증,c ə cʰ e o n c ɨ ŋ
적시다,c ə k ʃ i d a
전기,c əː n g i
전동음,c ə n d o ŋ ɨ m
전라남도,c ə l l a n a m d o
전라북도,c ə l l a b u k d o
전래동화,c ə l l ɛ d o ŋ w a
전문,c ə n m u n
전문,c əː n m u n
전문적,c ə n m u n ɟ ə k
전방위,c ə n b a ŋ w i c ə n b a ŋ y
전산학,c ə n s a n h a k
전선,c əː n s ə n
전선,c ə n s ə n
전설,c ə n s ə l
전송하다,c ə n s o ŋ h a d a
전자계산기,c ə n c a k j e s a n g i
전자동,c ə n c a d o ŋ
전자상거래,c əː n ɟ a s a ŋ g ə r ɛ
전자정부,c əː n ɟ a ɟ ə ŋ b u
전조선,c ə n ɟ o s ə n
전차,c əː n cʰ a
절대값,c ə l d ɛ k a p
절박,c ə l b a k
절벽,ʨ ʌ̹ l b j ʌ̹ k̚
절체절명,c ə l cʰ e ɟ ə l m j ə ŋ
점선,c ə m s ə n
점심밥,c ə m ʃ i m p a p
점쟁이,c ə m ɟ ɛ ŋ i
점진적,c ə m ɟ i n ɟ ə k
점진하다,c ə m ɟ i n h a d a
접지선,c ə p ɟ i s ə n
정교하다,c ə ŋ g j o h a d a
정권,c ə ŋ g w ə n
정미량,c ə ŋ m i r j a ŋ
정미량,c əː ŋ m i r j a ŋ
정밀,c ə ŋ m i l
정반사,c ə ŋ b aː n s a
정복자,c ə ŋ b o k c a
정사각형,c ə ŋ s a g a kʰ j ə ŋ
정석,c ə ŋ s ə k
정신,c ə ŋ ʃ i n
정신,c əː ŋ ʃ i n
정신분석,c ə ŋ ʃ i n p u n s ə k
정원,c ə ŋ w ə n
정자,c əː ŋ c a
정자,c ə ŋ ɟ a
정적,c ə ŋ ɟ ə k
정적,c ə ŋ c ə k
정전,c ə ŋ ɟ ə n
정점,c ə ŋ c ə m
정정,c ə ŋ ɟ ə ŋ
정주,c əː ŋ ɟ u
정주하다,c əː ŋ ɟ u h a d a
정지,c ə ŋ ɟ i
정체,c ə ŋ cʰ e
정체성,c ə ŋ cʰ e s ə ŋ
정체하다,c ə ŋ cʰ e h a d a
정하다,c ə ŋ h a d a
정향,c ə ŋ h j a ŋ
제,c e
제곱,c e k o p
제곱근표,ɟ e g o p k ɨ n pʰ j o
제국주의자,c e g u k ɟ u ɨ j ɟ a
제도,c e d o
제도,c eː d o
제락,c e r a k
제로게임,c e r o g e i m
제비,c e b i
제비,c eː b i
제스처,c e s ɨ cʰ ə
조류학자,c o r j u h a k ɟ a
조립하다,c o r i pʰ a d a
조만장자,c o m a n ɟ a ŋ ɟ a
조선,c o s ə n
조선,c oː s ə n
조선인민공화국,c o s ə n i n m i n g o ŋ h w a g u k
조성하다,c o s ə ŋ h a d a
조센징,c o s e n ɟ i ŋ
조소하다,c o s o h a d a
조식,c oː ʃ i k
조언하다,c o ə n h a d a
조용,c o j o ŋ
조절,c o ɟ ə l
조정하다,c o ɟ ə ŋ h a d a
조지아,c o ɟ i a
조지아국,c o ɟ i a g u k
조지아어,c o ɟ i a ə
조카,c o kʰ a
족,c o k
족제비눈,c o k c e p i n u n
존경하다,c o n g j ə ŋ h a d a
존나,c o n n a
졸본,ɟ o l b o n
졸본부여,ɟ o l b o n b u j ə
좀미치다,c o m m i cʰ i d a
종,c oː ŋ
종,c o ŋ
종다리,c o ŋ d a r i
종소리,c o ŋ s o r i
종양,c o ŋ j a ŋ
종이배,c o ŋ i p ɛ
종이비행기,c o ŋ i b i h ə ŋ g i
종이학,c o ŋ i h a k
종적,c o ŋ ɟ ə k
종적,c o ŋ c ə k
종카어,c o ŋ kʰ a ə
좆,c o t
좌표,c w a pʰ j o
좌표계,c w a pʰ j o g e
좌표축,c w a pʰ j o cʰ u k
주거하다,c u g ə h a d a
주교,c u g j o
주구,c u g u
주권,c u k w ə n
주기적,c u g i ɟ ə k
주눅,c u n u k
주도적,c u d o ɟ ə k
주동사,c u d o ŋ s a
주렴,c u r j ə m
주리다,ɟ u r i d a
주바,c u b a
주사침,c u s a cʰ i m
주삿바늘,c u s a t b a n ɨ l
주어,c u ə
주의,c u ɨ j c u i
주의,c uː ɨ j c uː i
주제넘다,c u ɟ e n ə m t a
주주,c u ɟ u
주철,c u cʰ ə l
주파수,c u pʰ a s u
죽은말,c u g ɨ n m a l
죽치다,c u k cʰ i d a
준,c u
준비되다,c u nː b i d ø d a c uː n b i d w e d a
준석,c u s ə k
준왜성,c u n w ɛ s ə ŋ
준준,c u ɟ u
줄거리,c u l g ə r i
줌,c u m
줌통,c u m tʰ o ŋ
줌허리통,c u m h ə r i tʰ o ŋ
중간,c u ŋ g a n
중간,c uː ŋ g a n
중간,1 ᄋ ᅦ ᄉ ᅥ 4
중간시옷,c u ŋ g a n ʃ i o t
중단,c u ŋ d a n
중대시하다,c uː ŋ d ɛ ʃ i h a d a
중도주의,c u ŋ d o ɟ u ɨ j
중독,c u ŋ t o k
중상,c uː ŋ s a ŋ
중상,c u ŋ s a ŋ
중시하다,c uː ŋ ʃ i h a d a
중앙아시아,c u ŋ a ŋ a ʃ i a
중앙아프리카공화국,c u ŋ a ŋ a pʰ ɨ r i kʰ a g o ŋ h w a g u k
중위도고압대,c u ŋ y d o g o a p t ɛ c u ŋ w i d o g o a p t ɛ
중이병,c u ŋ i b j ə ŋ
중학년,c u ŋ h a k ɲ ə n
쥐약,c y j a k c w i j a k
쥐코밥상,c y kʰ o b a p s a ŋ c w i kʰ o b a p s a ŋ
쥐포,c w i pʰ o
즈믄,c ɨ m ɨ n
즈믄둥이,c ɨ m ɨ n d u ŋ i
증가,c ɨ ŋ g a
증가,c ɨ ŋ k a
증가하다,c ɨ ŋ k a h a d a
증가하다,c ɨ ŋ g a h a d a
증거계약,c ɨ ŋ g ə g e j a k
증기,c ɨ ŋ g i
증기선,c ɨ ŋ g i s ə n
증류,c ɨ ŋ ɲ u
증명,c ɨ ŋ m j ə ŋ
증발하다,c ɨ ŋ b a l h a d a
증손,c ɨ ŋ s o n
증손자,c ɨ ŋ s o n ɟ a
증인,c ɨ ŋ i n
증진,c ɨ ŋ ɟ i n
증진되다,c ɨ ŋ ɟ i n d w e d a c ɨ ŋ ɟ i n d ø d a
증진하다,c ɨ ŋ ɟ i n h a d a
증착,c ɨ ŋ cʰ a k
지구,c i g u
지구가까운점,c i g u g a k a u n c ə m
지균풍,c i g j u n pʰ o ŋ
지그재그,c i g ɨ z ɛ g ɨ
지급,c i g ɨ p
지력,c i r j ə k
지루,c i r u
지름신,c i r ɨ m ʃ i n
지명하다,c i m j ə ŋ h a d a
지방방송,c i b a ŋ b a ŋ s o ŋ
지상파,c i s a ŋ pʰ a
지상파방송,c i s a ŋ pʰ a p a ŋ s o ŋ
지적,c i c ə k
지중해,c i ɟ u ŋ h ɛ
지지하다,c i ɟ i h a d a
지지하천,c i c i h a t cʰ ə n
지진해일,c i ɟ i n h ɛ i l
지표면,
지프,c i pʰ ɨ
지향하다,c i h j a ŋ h a d a
직능,c i k n ɨ ŋ
직렬,c i k r j ə l
직렬연결,c i ŋ n j ə l j ə n g j ə l
직무,c i k m u
직물,c i k m u l
직사각형,c i k s a g a k h j ə k
진보라,c i n b o r a
진외가,c iː n ø g a c iː n w e g a
진작,c i n ɟ a k
진주,c i n ɟ u
진주,c iː n ɟ u
질경이,c i l g j ə ŋ i
질량,c i l r j a ŋ
짐승,c i m s ɨ ŋ
집개,c i p k ɛ
집락,c i p r a k
집배원,c i p p ɛ w ə n
집오리,c i p o r i
집파리,c i p pʰ a r i
집행하다,c i p h ɛ ŋ h a d a
집회,c i p h ø c i p h w e
집회하다,c i p h ø h a d a c i p h w e h a d a
짙어지다,c i t ə ɟ i d a
짚,c i p
짜지다,c a ɟ i d a
짝힘,c a k h i m
째다,c ɛː d a
쨈,c ɛ m
쩍다,ɟ ˈ ə k t ˈ a
쩍벌춤,c ə k p ə l cʰ u m
쪼다,c o d a
쪼다,c oː d a
쪼렙,c o r e p
쪽짭하다,c o k c a p h a d a
쯤,ʨ͈ ɯ̈ m
찌끈찌끈,c i k ˈ ɨ n c i k ˈ ɨ n
찌끈찌끈하다,c i k ˈ ɨ n c i k ˈ ɨ n h a d a
찐,c i n
찐득,c i n t ɨ k
찔광이,c i l g w a ŋ i
찔금,c i l k ɨ m
차르,cʰ a r ɨ
차림사,cʰ a r i m s a
참,cʰ a m
참,cʰ aː m
찻주전자,cʰ a t c u ɟ ə n ɟ a
창가,cʰ a ŋ k a
창가,cʰ aː ŋ g a
창가림,cʰ a ŋ g a r i m
창가림막,cʰ a ŋ g a r i m m a g
창백해지다,cʰ a ŋ b ɛ k h ɛ ɟ i d a
채,cʰ ɛ
채다,cʰ ɛ t a
책략,cʰ ɛ k r j a k
책벌레,cʰ ɛ k p ə l l e
책상,cʰ ɛ k s a ŋ
책장,cʰ ə k c a ŋ
처먹다,cʰ ə m ə k t a
처형,cʰ əː h j ə ŋ
처형,cʰ ə h j ə ŋ
천,cʰ ə n
천,cʰ əː n
천문관,cʰ ə n m u n g w a n
천문단위,cʰ ə n m u n d a n w i
천문학자,cʰ ə n m u n h a k ɟ a
천변만화,m a n h w a
천분율,cʰ ə n b u n j u l
천수국,cʰ ə n s u g u k
천연색텔레비전,cʰ ə n j ə n s ɛ k tʰ e l l e b i ɟ ə n
천째,cʰ ə n c ɛ
천체물리학,cʰ ə n cʰ e m u l l i h a k
철,cʰ ə l
철딱지,cʰ ə l t a k c i
첫인상,cʰ ə t i n s a ŋ
청,cʰ ə ŋ
청산하다,cʰ ə ŋ s a n h a d a
청소기,cʰ ə ŋ s o g i
청유문,cʰ ə ŋ j u m u n
청음,cʰ ə ŋ ɨ m
청자,cʰ ə ŋ ɟ a
청취하다,cʰ ə ŋ cʰ w i h a d a
청테이프,cʰ ə ŋ tʰ e i pʰ ɨ
체계,cʰ e g j e
체념,cʰ e ɲ ə m
체념하다,cʰ e ɲ ə m h a d a
체리,cʰ e r i
체벌,cʰ e b ə l
체벌하다,cʰ e b ə l h a d a
체육대회,cʰ e j u k t ɛ h ø cʰ e j u k t ɛ h w e
체육복,cʰ e j u k p o k
체코인,t ʃ e kʰ o i n
체포하다,cʰ e pʰ o h a d a
체하다,cʰ e h a d a
초가을,cʰ o k a ɨ l
초강대국,cʰ o g a ŋ d ɛ g u k
초겨울,cʰ o k j ə u l
초대륙,cʰ o d ɛ r y u k
초봄,cʰ o p o m
초상화,cʰ o s a ŋ h w a
초식남,cʰ o ʃ i ŋ n a m
촉음,cʰ o k ɨ m
총론,cʰ o ŋ r o n
총명,cʰ o ŋ m j ə ŋ
총명하다,cʰ o ŋ m j ə ŋ h a d a
총의,cʰ o ŋ ɨ
총회꾼,cʰ o ŋ h w e k u n cʰ o ŋ h ø k u n
최,cʰ ø cʰ w e
최저생계비,cʰ ø ɟ ə s ɛ ŋ g j e b i
추,cʰ u
추도하다,cʰ u d o h a d a
추악하다,cʰ u a kʰ a d a
추워지다,cʰ u w ə ɟ i d a
축,cʰ u k
축구화,cʰ u k k u h w a
축국,cʰ u k k u k
축하합니다,cʰ u k h a h a p n i d a
춘추시대,cʰ u n cʰ u s i d ɛ
출처,cʰ u l cʰ ə
출첵,cʰ u l cʰ ɛ k
출판,cʰ u l pʰ a n
출판물,cʰ u l pʰ a n m u l
출판하다,cʰ u l pʰ a n h a d a
출현하다,cʰ u l h j ə n h a d a
춤꾼,cʰ u m k u n
충만하다,cʰ u ŋ m a n h a d a
충실하다,cʰ u ŋ ʃ i l h a d a
췌장,cʰ w e ɟ a ŋ
취,cʰ w i
측정,cʰ ɨ k c ə ŋ
측정하다,cʰ ɨ k ɟ ə ŋ h a d a
츤데레,cʰ ɨ n d e r e
층,cʰ ɨ ŋ
치레,ʨʰ i ɾ e
치윤,cʰ i j u n
치음,cʰ i ɨ m
치킨집,cʰ i kʰ i n ɟ i p
친,cʰ i n
친할머니,cʰ i n h a l m ə n i
친할아버지,cʰ i n h a l a b ə ɟ i
친환경,cʰ i n h w a n g j ə ŋ
칠,cʰ i l
칠각형,cʰ i l g a k h j ə ŋ
칠칠맞다,cʰ i l cʰ i l m a t t a
칠포국,cʰ i l pʰ o g u k
침략적,cʰ i m r j a k c ə k
침팬지,cʰ i m pʰ a n ɟ i
칭호,cʰ i ŋ h o
카나리아,kʰ a n a r i a
카디건,kʰ a d i g ə n
카멜레온,kʰ a m e l l e o n
카밀레,kʰ a m i l l e
카자흐족,kʰ a ɟ a h ɨ ɟ o k
카차,kʰ a cʰ a
칼미크족,kʰ a l m i kʰ ɨ ɟ o k
캐러웨이,kʰ ɛ r ə w e i
캔버라,kʰ ɛ n b ə r a
캔버스,kʰ ɛ n b ə s ɨ
캬베쓰,k j a b e s ɨ
커버,kʰ ə b ə
컬러텔레비전,kʰ ə l l ə tʰ e l l e b i ɟ ə n
컴백,kʰ ə m p ɛ k
컴퍼스,kʰ ə m pʰ ə s ɨ
컵라면,kʰ ə p r a m j ə n
케이블,kʰ e i b ɨ l
케이크,kʰ e i kʰ ɨ
켜,kʰ j ə
켜다,kʰ j ə d a
코덱,kʰ o d e k
코브라,kʰ o b ɨ r a
코소보,kʰ o s o b o
코스어,kʰ o s ɨ ə
코스퍼,kʰ o s ɨ pʰ ə
코치,kʰ o cʰ i
콘서트홀,kʰ o n s ə tʰ ɨ h o l
콘센트,kʰ o n s e n tʰ ɨ
콘월인,kʰ o n w ə l i n
콘크리트,kʰ o n kʰ ɨ r i tʰ ɨ
콘택트렌즈,kʰ o n tʰ ɛ k tʰ ɨ r e n ɟ ɨ
콜라,kʰ o l l a
콜라나무,kʰ o l l a n a m u
콜레라,kʰ o l l e r a
콜센터,kʰ o l s e n tʰ ə
콜호스,kʰ o l h o s ɨ
콩가루,
크라이,kʰ ɨ r a i
크로노미터,kʰ ɨ r o n o m i tʰ ə
크로마뇽인,kʰ ɨ r o m a ɲ o ŋ i n
크로뮴,kʰ ɨ r o m j u m
크로아티아인,kʰ ɨ r o a tʰ i a i n
크리스털,kʰ ɨ r i s ɨ tʰ ə l
크림차크어,kʰ ɨ r i m cʰ a kʰ ɨ ə
크산틴,kʰ ɨ s a n tʰ i n
큰못,kʰ ɨ n m o t
큰묶음표,kʰ ɨ n m u k ɨ m pʰ j o
큰창자암,kʰ ɨ n cʰ a ŋ ɟ a a m
키시너우,cʰ i ʃ i n œ u
키시네프,kʰ i ʃ i n e pʰ ɨ
키질,kʰ i z i l
킹왕짱,kʰ i ŋ w a ŋ c a ŋ
타갈로그어,tʰ a g a l l o g ɨ ə
타격,tʰ a g j ə k
타국,tʰ a g u k
타당성,tʰ a d a ŋ s ə ŋ
타밀인,tʰ a m i l i n
타원,tʰ a w ə n
타원형,tʰ a w ə n h j ə ŋ
타자,tʰ a ɟ a
타프,tʰ a pʰ ɨ
탁구공,tʰ a k k u g o ŋ
탁월,tʰ a k w ə l
탁음,tʰ a k ɨ m
탄,tʰ a n
탄설음,tʰ a n s ə l ɨ m
탈,tʰ aː l
탈,tʰ a l
탈락,tʰ a l l a k
탈세,tʰ a l s e
탈수,tʰ a l s u
탈영자,tʰ a l j ə ŋ c a
탈주병,tʰ a l ɟ u b j ə ŋ
탐지기,tʰ a m j i g i
탑탑,tʰ a p tʰ a p
탕,tʰ a ŋ
탕수육,tʰ a ŋ s u j u k
탕탕,tʰ a ŋ tʰ a ŋ
탕탕거리다,tʰ a ŋ tʰ a ŋ g ə r i d a
태연하다,tʰ ɛ j ə n
태질,tʰ ɛ c h i l
탱고,tʰ ɛ ŋ g o
탱크,tʰ ɛ ŋ kʰ ɨ
터뜨리다,tʰ əː t ɨ r i d a
터리,tʰ ə r i
테니스,tʰ e n i s ɨ
테라스,tʰ e r a s ɨ
테스토스테론,tʰ e s ɨ tʰ o s ɨ tʰ e r o n
텔레비전게임,tʰ e l l e b i ɟ ə n g e i m
텔레비전네트워크,tʰ e l l e b i ɟ ə n n e tʰ ɨ w ə kʰ ɨ
텔레비죤방송망,tʰ e l l e b i ɟ j o n p a ŋ s o ŋ m a ŋ
템페라,tʰ e m pʰ e r a
템플릿,tʰ e m pʰ ɨ l l i t
토끼다,tʰ o k i d a
톱날,tʰ o p n a l
통구이,tʰ o ŋ k u i
통나무,tʰ o ŋ n a m u
통닭,tʰ o ŋ t a k
통아,tʰ o ŋ a
통지,tʰ o ŋ ɟ i
통치자,tʰ o ŋ cʰ i ɟ a
퇴장표,tʰ ø ɟ a ŋ pʰ j o tʰ w e ɟ a ŋ pʰ j o
투,tʰ u
투그릭,tʰ u g ɨ r i k
투덜,tʰ u d ə l
투성이,tʰ u s əː ŋ i
투자하다,tʰ u ɟ a h a d a
투항하다,tʰ u h a ŋ h a d a
튀기,tʰ y g i
트란스니스트리아,tʰ ɨ r a n s ɨ n i s ɨ tʰ ɨ r i a
트랜지스터,tʰ ɨ r ɛ n ɟ i s ɨ tʰ ə
트렌드,tʰ ɨ r e n d ɨ
트리다,tʰ ɨ r i d a
트빌리시,tʰ ɨ b i l l i s i
티,tʰ i
티라노사우루스,
티샤쓰,tʰ i ʃ a s ɨ
티타늄,tʰ i tʰ a n j u m
티푸스,tʰ i pʰ u s ɨ
팀ᄒᆞㅑㅇ,t i m h j ɒ ŋ
파라오,pʰ a r a o
파리,pʰ a r i
파리채,pʰ aː r i cʰ ɛ
파스,pʰ a s ɨ
파이데이,pʰ a i t e i
파찰음,pʰ a cʰ a l ɨ m
파파야,pʰ a pʰ a j a
판공,pʰ a n g o ŋ
판올림,pʰ a n o l l i m
팔,pʰ a l
팔꿈치,pʰ a l k u m cʰ i
팔레스타인,pʰ a l l e s ɨ tʰ a i n
팔레스타인국,pʰ a l l e s ɨ tʰ a i n g u k
팔목걸이,pʰ a l m o k k ə r i
팥,pʰ a t
패랭이,pʰ ɛ r ɛ ŋ i
패러디,pʰ ɛ r ə d i
패럴림픽,pʰ ɛ r ə l l i m pʰ i k
패블릿,pʰ ɛ p ɨ l r i s
패션,pʰ ɛ ʃ ə n
패스,pʰ ɛ s ɨ
패치,p ɛ cʰ i
팬케이크,pʰ ɛ n kʰ e i kʰ ɨ
팽,pʰ ɛ ŋ
팽팽,pʰ ɛ ŋ pʰ ɛ ŋ
퍼렇다,pʰ ə r a tʰ a
퍼밀,pʰ ə m i l
퍼스,pʰ ə s ɨ
펀하다,
펑퍼짐,pʰ ə ŋ pʰ ə ɟ i m
펑퍼짐하다,pʰ ə ŋ pʰ ə ɟ i m h a d a
페르시아,pʰ e r ɨ ʃ i a
페미돔,pʰ e m i d o m
펜,pʰ e n
펠라티오,pʰ e l l a tʰ i o
편제하다,pʰ j ə n ɟ e h a d a
편집자,pʰ j ə n ɟ i p ɟ a
평가절하,pʰ j ə ŋ k a ɟ ə r a
평각,pʰ j ə ŋ g a k
평등권,pʰ j ə ŋ d ɨ ŋ g w ə n
평등하다,pʰ j ə ŋ d ɨ ŋ h a d a
평론가,pʰ j ə ŋ n o n g a
평면,pʰ j ə ŋ m j ə n
평면도형,pʰ j ə ŋ m j ə n d o h j ə ŋ
평면형,pʰ j ə ŋ m j ə n h j ə ŋ
평상,pʰ j ə ŋ s a ŋ
평영,pʰ j ə ŋ j ə ŋ
평온하다,pʰ j ə ŋ o n h a d a
평원,pʰ j ə ŋ w ə n
평평하다,pʰ j ə ŋ pʰ j ə ŋ h a d a
평행,pʰ j ə ŋ h ɛ ŋ
평행사변형,pʰ j ə ŋ h ɛ ŋ s a p j ə n h j ə ŋ
평행육면체,pʰ j ə ŋ h ɛ ŋ j u k m j ə n cʰ e
평화적,pʰ j ə ŋ h w a ɟ ə k
평화하다,pʰ j ə ŋ h w a h a d a
폐,pʰ e
폐국,pʰ e g u k
폐제,pʰ e ɟ e
포,pʰ o
포기,pʰ oː g i
포기,pʰ o g i
포상팔국,pʰ o s a ŋ pʰ a l g u k
포장도로,pʰ o ɟ a ŋ d o r o
포태,pʰ o tʰ ɛ
폭발하다,pʰ o k p a l h a d a
폭풍해일,pʰ o k pʰ o ŋ h ɛ i l
표기,pʰ j o g i
표기하다,pʰ j o g i h a d a
표면적,pʰ j o m j ə n ɟ ə k
표본,pʰ j o b o n
표어,pʰ j o ə
표준시계,pʰ j o ɟ u n ʃ i g j e
표현법,pʰ j o h j ə n p ə p
표현주의,pʰ j o h j ə n ɟ u ɨ j
푸딩,pʰ u d i ŋ
푸른머리되새,pʰ u r ɨ n m ə r i d ø s ɛ pʰ u r ɨ n m ə r i d w e s ɛ
푸에르토리코,pʰ u e r ɨ tʰ o r i kʰ o
푹푹,pʰ u k pʰ u k
풀무,pʰ u l m u
풀치,
풋감,pʰ u t g aː m
풋고추,pʰ u t g o cʰ u
풋과실,pʰ u t s i l
풋과일,pʰ u t g w a i l
풋나물,pʰ u t n a m u l
풋마늘,pʰ u t m a n ɨ l
풋바둑,pʰ u t b a t u k
풋사과,pʰ u t s a g w a
풋사랑,pʰ u t s a r a ŋ
풋사랑하다,pʰ u t s a r a ŋ h a d a
풋살,pʰ u t s a l
풋수염,pʰ u t s u j ə m
풋장기,pʰ u t c aː ŋ g i
풋콩,pʰ u t kʰ o ŋ
풍력,pʰ u ŋ r j ə k
풍선껌,pʰ u ŋ s ə n k ə m
풍속계,pʰ u ŋ s o k g j e
풍토,pʰ u ŋ tʰ o
퓌다,pʰ w i d a
프다,pʰ ɨ d a
프랑,pʰ ɨ r a ŋ
프랑스인,pʰ ɨ r a ŋ s ɨ i n
프린터,pʰ ɨ r i n tʰ ə
플라세보,pʰ ɨ l l a s e b o
플라스크,pʰ ɨ l l a s ɨ kʰ ɨ
플러스,pʰ ɨ l r ə s ɨ
플러스극,pʰ ɨ l r ə s ɨ k ɨ k
플로프,pʰ ɨ l l o pʰ ɨ
플루오린,pʰ ɨ l l u o r i n
픠다,pʰ ɨ j d a
피검사,pʰ i k ə m s a
피구,pʰ i g u
피구공,pʰ i g u g o ŋ
피디,pʰ i t i
피라미드,pʰ i r a m i d ɨ
피리,pʰ i r i
피시방,pʰ i ʃ i p a ŋ
피트,pʰ i tʰ ɨ
피형,pʰ i h j ə ŋ
핀,pʰ i n
핀잔,pʰ i n c a n
필,pʰ i l
필라프,pʰ i l l a pʰ ɨ
필명,pʰ i l m j ə ŋ
필산,pʰ i l s a n
하게체,h a g e cʰ e
하계올림픽,h a g j e o l l i m pʰ i k
하고,
하꾸라이,h a k u r a i
하드,h a d ɨ
하루강아지,h a r u g a n g a ɟ i
하슘,h a s j u m
하십시오체,h a ʃ i p ʃ i o cʰ e
하영,h a j ə ŋ
하와이어,h a w a i ə
하외욤,h a o j j o m
하위어,h a w i ə
하의어,h a ɨ j ə
하카스어,h a kʰ a s ɨ ə
하트,h a tʰ ɨ
하픠옴,h a pʰ ɯ j o m
하회홈,h a h o j h o m
학위,h a k w i
한,h aː n
한,h a n
한가을,h a n k a ɨ l
한국방송공사,h a n g u k b a ŋ s o ŋ g o ŋ s a
한민족,h aː n m i n ɟ o k
한봄,h a n p o m
한성,h a n s ə ŋ
한식,h a n ʃ i k
한식,h aː n ʃ i k
한양,h a n y a n g
한자어,h aː n c a ə
할로겐,h a l l o g e n
함,h a m
